comment,ai_labelled,emoji_present,hindi_pct
nauseated_face nauseated_face nauseated_face nauseated_face nauseated_face face_vomiting face_vomiting face_vomiting face_vomiting face_vomiting hot_face,non-sarcastic,no,0.0
maaya baapa -aamachee poragee punyaalaa shikaayalaa haaya le poragee slightly_smiling_face moai fire,non-sarcastic,yes,76.47
Only manwar bhai clapping_hands fire fire fire,sarcastic,no,15.38
Dar Ki man ki chut smiling_face_with_heart-eyes smiling_face_with_heart-eyes smiling_face_with_heart-eyes smiling_face_with_heart-eyes smiling_face_with_heart-eyes smiling_face_with_heart-eyes,non-sarcastic,yes,9.09
Rahul Gandhi ne chutiya banya tumko face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,26.47
aab koi iski sr kalam krne ki bat nhi karega ...,non-sarcastic,no,85.71
kitni hindu mahila h es me. thoda es pr bhi bat ho crying_face . congress kya sirf ek jati dharm ke logo ke liye kam kr rhi h.,non-sarcastic,yes,75.0
aaa gye hak mangne wale jinko yahi nhi pata ki ye log hai kaha se face_with_tears_of_joy,sarcastic,yes,68.57
Ki kari jande yrr punjabi face_holding_back_tears face_holding_back_tears,non-sarcastic,no,26.92
dar ki jai bajrangbali moai fire,non-sarcastic,no,54.55
hee gelee hotee mhanoona manata asela,non-sarcastic,no,76.92
1 July ko milega hai bola hai face_with_tears_of_joy face_with_tears_of_joy jao Rahul ka Gala dabakar Paisa lo,sarcastic,yes,36.59
eendia eendia eendia eendia eendia eendia,non-sarcastic,no,0.0
rolling_on_the_floor_laughing Mautend duu dar ki maa ki chut love-you_gesture,non-sarcastic,no,37.04
He pan pagal ch distay…. grinning_face_with_sweat rolling_on_the_floor_laughing yala pan ghya re aat… waving_hand_light_skin_tone,non-sarcastic,yes,27.08
That's the power of bulldozer baba red_heart,non-sarcastic,no,13.33
"Ear 5 star do nothing , mountain dew thagu bhayam vodhulu rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing",non-sarcastic,no,12.07
"Lockdown mein productivity badha, pura kaam postpone ho gaya, chutiya life! 😴",sarcastic,yes,47.62
eendian army iske liye jan de dete h un log ki izzat kar lete jisse problem tha uske face par per rakhte sardar enraged_face,non-sarcastic,no,74.36
kaha ho musalmano enraged_face enraged_face jawab do,non-sarcastic,no,38.89
Fivestar+Mountain dew cross_mark Daaru+Chaknaa check_mark_button check_mark_button skull,non-sarcastic,yes,10.71
pig kha rahe hai zinda media dalalo aubto bank bhar gaya hoga dalali karte karte aubto sharam karo,sarcastic,no,75.76
nountain dew dar ki naki ch*t skull moai,non-sarcastic,no,40.0
झूला लेकर आओ झूला नोट भर के ले जाना उसमें grinning_face_with_smiling_eyes grinning_face_with_smiling_eyes grinning_face_with_smiling_eyes grinning_face_with_smiling_eyes grinning_face_with_smiling_eyes grinning_face_with_smiling_eyes,non-sarcastic,yes,11.24
Middle class face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,0.0
tujhyaa aaee tikadecha ghaala maga shivasenaa madhye crying_face,non-sarcastic,yes,79.17
eesiliye kehte h aurton ko ghr se bahr na nikalo,sarcastic,no,100.0
dhandevaalee baaee tujhyaa aaeechee puchee jhavaade jhavoona ghenaare,sarcastic,no,100.0
oop wale hindu hijde hai sale chamche mulled pakisthani nsedi nikkal aabdul ki gandi aollad,sarcastic,no,84.38
phone ka wallpaper dekhte dekhte zindagi kat rahi hai.,sarcastic,no,73.33
aaabhi to sarkar ahi hai mahina bhi nahi hua. or hatho hath suvidha chahiye sabh ko,sarcastic,no,96.88
Bhagban ye sunne se pehle main mar kyu nahi gayi slightly_smiling_face proud to be a Hindu purple_heart dizzy,sarcastic,yes,45.45
godee meediyaa tuma loga eka nanbara ke maadarachota ho. aisaa hee beejepee paartee ho kaa bataao jo beejepee paartee me bhaarata ke logo se vaadaa kiyaa usakaa kyaa huaa bhosaree vaale godee meediyaa,sarcastic,no,98.61
jai shree ram triangular_flag triangular_flag triangular_flag,non-sarcastic,no,26.67
sarakaara banane to de godee tihaa.dee,sarcastic,no,92.86
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face chapaleenan haanalan paaheeje ashaanaan,sarcastic,no,14.58
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,0.0
India is not for beginners moai,non-sarcastic,no,25.0
Iske jagah jail hai bass iske bimari ka ilaj hona cahiye face_with_tears_of_joy,sarcastic,yes,56.67
"अरे ही उंडगी गावदानी बाई आहे, हिचं काही ऐकू नको face_with_tears_of_joy face_with_tears_of_joy",non-sarcastic,yes,30.43
तेल घेऊन जा सोबत rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,no,8.0
yogee jee eka baara sanjaya raaoota ko thodaa dekhahi leejiye … aura achche se bhee dekhiye … unakee thodee apane taareeke se sevaa bhee kara deejiye … folded_hands folded_hands folded_hands folded_hands folded_hands jaya shree raama,non-sarcastic,no,63.53
5 STAR:-EAT 5 STAR DO NOTHING cross_mark_button MOUNTAIN DEW:-MOUNTAIN DEW DAR KE AAGE JEET HAI cross_mark_button EAT 5 STAR DO NOTHING KYUNKI DAR KE AAGE JEET HAI check_mark_button,non-sarcastic,yes,36.25
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic,no,0.0
kaangresa saba degee aapa logon ko baabaa jee kaa ghantaa,sarcastic,no,100.0
kab de rahe ho 1 lakh ?,sarcastic,no,80.0
aaise hi log aapne mama ko aabba bana lete hai,sarcastic,no,100.0
suerte que el motero se paró y todavía critican rosquilludo,non-sarcastic,no,0.0
15 lak nodi ji kaha hay,non-sarcastic,no,88.89
madhya pradesha ke sabhee bhaaiyon ko saadara pranaama,non-sarcastic,no,100.0
bhaiya rahul gandhi pn bana kya? sarkar banega tab hi na paisa dega.,sarcastic,no,76.92
bap bap hota h ese kaya hota h salo always jai hind eendia hundred_points check_mark_button,sarcastic,no,66.67
Uncle justify song in real life,sarcastic,no,0.0
Report this party candidate face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth,non-sarcastic,yes,0.0
oop walo k hisab se to bilkul karna chahiye hai na ??,sarcastic,no,80.0
Abee tu chal abee raising_hands face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,21.88
ह्या बैमुळे शिवससेना बरबाद झाली face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,yes,3.73
Char chawanni ghode pe age tum log bol hindu bhai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,yes,18.09
Mountain cross_mark mut sa bacna ki dawa check_mark_button,non-sarcastic,yes,44.44
लड़को तेजाब या काला पानी खतम हो गया क्या face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy सही जगह इस्तेमाल करो अब enraged_face,non-sarcastic,yes,6.56
dhruv bhen ka londa dalla bc mc ab q nhi bol rha enraged_face,non-sarcastic,no,60.0
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,0.0
bhn k lunn moot dega ek pdega to yhi khandan pura face_with_tears_of_joy,sarcastic,yes,48.28
tera tarika sahi karna pale ga -jay bajarang bali triangular_flag,non-sarcastic,no,85.0
कट्टर हिन्दू है triangular_flag triangular_flag triangular_flag बीजेपी को दिया है red_heart red_heart red_heart,sarcastic,no,0.0
"jaise kehte hain, sone pe suhaaga",sarcastic,no,91.67
red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart,non-sarcastic,no,0.0
rathee ji kripya ek bar sudhanshu ji se tution lene a jaya karo… skull check_mark_button,sarcastic,no,58.62
bholenath iska fesla khud kr dege yr niche giregi acche se,non-sarcastic,no,90.0
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing or do vote pappu ko face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,0.89
eeske fand me itni charbi kyu he..koi muslim kya jeet gaya gand jalne lagi,sarcastic,no,88.89
Kyunki ab is content per utne views nahi ayenge enraged_face,sarcastic,no,55.56
sahee kaha rahaa ye tabhee to bore se dhakakara baahara bhejate aura nangaa ghara me rakhate hain,sarcastic,no,96.88
sale tere munh se sirf nafrat ka bat nikalta hai tujhse bekar news anchor maine kabhi nhi dekha,sarcastic,no,94.12
bro mazak bat nahi hai..independence pe een logo ki population 6% ke as pas thi aj lagbhag 36% hai…age ane wale 20 salon mai jaise hi 51% hogi waise hi ye eendia ko nuslim country ghoshit krdenge,non-sarcastic,no,67.24
execution ground reality show ban gaya,sarcastic,no,33.33
Ab waqf ka fuck hoga face_with_tears_of_joy,non-sarcastic,yes,20.0
Kuch nhi bus 75 bale Ka Kamal hai face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,27.27
do kodi ki bike leke heero bnra h sala,sarcastic,no,92.86
Sala aaj newton rahta to pahle hi aatmahatya kar leta face_with_tears_of_joy face_with_tears_of_joy,sarcastic,yes,35.9
sas bahu tv serials be like,sarcastic,no,44.44
Oh behen that is just a doll nesting_dolls face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,5.56
tu randakee asheecha jhaali naahisa baaee.....prakrritee oogeecha banavata naahi tujhyaasaarakheelaa jevhaa saamaanya maanusa tu laa raanda mhanato,non-sarcastic,no,91.07
Sioni cross_mark sunny Leone check_mark_button check_mark_button is ka bhi log condom laga kar vote karenge face_with_tears_of_joy face_with_tears_of_joy,sarcastic,yes,18.18
aab chamche yaha kuch nahi kahenge...,sarcastic,no,80.0
video viral hone ke liye kuch bhi,sarcastic,no,81.82
nahi wakf board ko hatana hi hoga,non-sarcastic,no,72.73
Lol tanatan drum vali bhajj gi face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,8.89
dekh bhai aj krte hai eska bhi kam tammam,non-sarcastic,no,100.0
moai moai moai moai skull skull skull skull skull face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,11.76
jhoot jhoot hi rahega ayodhya me insaf nhi hua ham hamesha kayenge hamare desh ko,non-sarcastic,no,84.38
nai ap dono ko ek sath pelna chahta hu,sarcastic,no,100.0
Balasaheb thakare abi hota to is raut k gant pe lat mar k bhar fak dete face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,yes,31.88
1000000 ghatiya aurat mari honge to ye peda ho gai unke dua se,sarcastic,no,90.0
Lode ka loda sudhir bhen ka loda face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,yes,17.78
nala pan chance dya re sushma andhare var udayala,sarcastic,no,94.12
fun fact.... 10 lac ki gadi khareedne walo ki hasiyat 1000-2000 ka nuksan sahi karane ki nahi hoti face_with_tears_of_joy face_with_tears_of_joy ... sirf kuch paiso ke liye sadak pe nanga nach shuru kar dete hai,non-sarcastic,yes,56.25
"aaeeghale, tujhaa chadhilaa bhokaa tarakitee aaheta?",sarcastic,no,90.91
Oo Please Dude folded_hands ....Ab Ye To Matt Hi Karo Yaar expressionless_face ........ it's just show's Winning Moment,non-sarcastic,no,17.78
Hila Sumsaam Andharat ghelay Sagalya Mantrayani . face_with_tears_of_joy,non-sarcastic,yes,3.45
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing clapping_hands clapping_hands clapping_hands clapping_hands clapping_hands,non-sarcastic,no,0.0
randi bazar paidaish randi rahanar na,sarcastic,no,84.62
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,no,0.0
"After article 370, next is the Waqf board!",sarcastic,no,0.0
"eendia secular country nhi hai , secular bas yaha k dogale hindu h",sarcastic,no,66.67
thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up,non-sarcastic,no,0.0
isako jela bhejon saba theeka ho jaaegaa,sarcastic,no,100.0
babari ke bare me batane hi wale ho tho sathme gyanvyapi ka bhi bata dena,sarcastic,no,100.0
Bkl Sarkar kaha bna congress ki face_with_tears_of_joy enraged_face,sarcastic,yes,32.14
Real hai me tha vaha pr smiling_face_with_heart-eyes,non-sarcastic,yes,35.29
Foolish people....he only said when he become pm,non-sarcastic,no,0.0
teri ma chudanga kattue teri luli hai ni jo hai woh bhi ukad denge,non-sarcastic,no,100.0
chutiya sarkar bjp ki bani he bhadve modi ke dalal... face_with_tears_of_joy,non-sarcastic,yes,47.06
bs eska mansik santulant kharab ha,non-sarcastic,no,83.33
अम्मा बहिन पे आ जाऊँगा इसकी......अम्मा बहिन पे आ जाऊँगा........... rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing यही तो हैं मजहब की खूबसूरती face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,yes,14.72
Le Bhai moot Diya YouTube University pe face_with_tears_of_joy,sarcastic,yes,28.57
chutiya hai thou sab se bade yeh dokhla anchor,non-sarcastic,no,93.75
ye sb popat bana rahe h vote lane ke liye ab bolo doglo,sarcastic,no,94.44
kya chutiyapa media hai yeh ladwane ke ilawa kuch sujta hi nahi inlog ko. news ko kahan se kahan legaya hadd hai yeh to.,sarcastic,no,85.71
Aur karo comment mein Congress jindabad Congress jindabad face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,yes,13.43
Dhruv tattee deluding his followers indeed,non-sarcastic,no,0.0
yr sirf bahr ke hi kr skte h not indians,non-sarcastic,no,78.57
paisa vasool performance,sarcastic,no,20.0
"The kind of language you used to speak on instagram live and the kind of rap you made.If this type of accident happens in Pune, you must realize the seriousness of it. You deserve the punishment. Ise hi kahate Hain, "" ye lakadi kyon padi Ho jhad me......""",non-sarcastic,no,25.33
aare teri bakwas band ullo ki aulad,non-sarcastic,no,91.67
Gravity ki to koi value hi nh hai smiling_face_with_tear,non-sarcastic,yes,42.11
Acch tho hm bhi bolnge aurangzeb aya tha thoda tha aur yeh bhi yd dilayenge ki kase hmne liya tha fire fire red_heart,non-sarcastic,no,76.74
suna hai ram mandir ki opening sa ziyada public thi,non-sarcastic,no,57.14
Are koi ni isko bina condam ke chodunga to bacche smjhdar paida honge don't wrry,non-sarcastic,no,76.67
Dhuruv r ke kitne baap clapping_hands clapping_hands,sarcastic,no,31.58
Khata khat khata khat rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,no,16.67
tumhari itni aukat bhi nahi ki main tumhare bare me kuchh bolu,sarcastic,no,100.0
Pappu servents spotted face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,0.0
ਤੇਰੀ ਮਾਂ ਦੀ ਸਾਲਾਂ ਰਾਈਡਰ enraged_face,non-sarcastic,no,0.0
crying_face crying_face crying_face crying_face crying_face crying_face,non-sarcastic,yes,0.0
"Eat 5 star do nothing, mountain dew dar ke age jit hai face_with_tears_of_joy",sarcastic,yes,23.08
fire 𝐁øø𝐬𝐭 𝐲𝐨𝐮𝐫 ï𝐧𝐬𝐭𝐚 𝐩𝐫𝐨𝐟𝐢𝐥𝐞 fire people_hugging 𝐍ø𝐧 𝐝𝐫ø𝐩 î𝐧𝐝î𝐚𝐧 𝙛ø𝙡𝙡ø𝙬𝙚𝙧𝙨 𝐥î𝐟𝐞𝐭î𝐦𝐞 𝐠𝐮𝐚𝐫𝐚𝐧𝐭𝐞𝐞 people_hugging ------------------------------------------------ 99𝙧𝙨 𝙛𝙤𝙧 500 𝙛ø𝙡𝙡ø𝙬𝙚𝙧𝙨 179𝙧𝙨 𝙛𝙤𝙧 1000 𝙛ø𝙡𝙡ø𝙬𝙚𝙧𝙨 299𝙧𝙨 𝙛𝙤𝙧 2000 𝙛ø𝙡𝙡ø𝙬𝙚𝙧𝙨 429𝙧𝙨 𝙛𝙤𝙧 3000 𝙛ø𝙡𝙡ø𝙬𝙚𝙧𝙨 529𝙧𝙨 𝙛𝙤𝙧 4000 𝙛ø𝙡𝙡ø𝙬𝙚𝙧𝙨 639𝙧𝙨 𝙛𝙤𝙧 5000 𝙛ø𝙡𝙡ø𝙬𝙚𝙧𝙨 1249𝙧𝙨 𝙛𝙤𝙧 10000 𝙛ø𝙡𝙡ø𝙬𝙚𝙧𝙨 ---------------------------------------------------- smiling_face_with_open_hands smiling_face_with_open_hands 𝐃ê𝐦ø 𝐚𝐥𝐬𝐨 à𝐯𝐚𝐢𝐥𝐚𝐛𝐥𝐞 smiling_face_with_open_hands smiling_face_with_open_hands ----------------------------------------------------,non-sarcastic,yes,0.0
Uncle song ko seriously le liye hai crying_face face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,10.87
"hilaa shivaseneta konee ghetalan, aaee jhavaadeelaa ?",sarcastic,no,90.0
kaha gaya dhurv rathee fan skull skull skull,non-sarcastic,no,50.0
koi bat nahi nark me iske liye iski alag se saza tyar ho gayi hai aur kabhi mere mahakal ke bhagat ke samne a gayi nark me hi dikha duga isko enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic,no,62.96
50 chaa maala jhavaadee raanda kolla toolaa bhongala kutra,sarcastic,no,95.0
Ye chu**ya hr chij ke ratte mar kr aata hai sudhanshu chaurvedi cross_mark cross_mark chatur(silencer 3 idiots wala face_with_tears_of_joy ).......iski sb bate history se start or whi ruk jati hai gawar khinka face_with_tears_of_joy face_with_tears_of_joy us time sb kis reason se jail gye thae or ab kis wjha se gye hai bklol khinka bs rut kr aajata hai,sarcastic,yes,49.63
aall yadav and sc jao apni mummy ko sister' ko lekr millo k pass enraged_face enraged_face,sarcastic,no,35.29
Kidney touching video loudly_crying_face rolling_on_the_floor_laughing check_mark_button,non-sarcastic,yes,0.0
Mp respact batton to banta katter hindu backhand_index_pointing_right red_heart,non-sarcastic,no,20.0
उल्लू बनाया बडा मजा आया face_with_tears_of_joy,sarcastic,yes,50.0
Khalistan cross_mark maro eski gaan face_with_tears_of_joy check_mark_button,sarcastic,yes,14.81
red_heart red_heart red_heart red_heart red_heart red_heart red_heart India India India India India India check_mark_button check_mark_button check_mark_button check_mark_button India India India India India India India India India India,non-sarcastic,no,0.0
Abdullah b. Amr reported:The Messenger of Allah (,non-sarcastic,no,0.0
Once again proved that India is not for beginners face_with_tears_of_joy fire,sarcastic,yes,0.0
bina jane ki waha kya hua koi faisla mat karo bhai log,non-sarcastic,no,100.0
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing clapping_hands clapping_hands clapping_hands,non-sarcastic,no,0.0
dar ki ma ki chu... moai skull,non-sarcastic,no,63.64
Ye kya nonsense h view ke liye video dal rhe ho or comment kisi or cheez ka phle to sharm aani chaiye ki apne tirange ko ese view ke liye use kr ehe ho jb aapke channel pe itne view aaho rhe h to kyu nah iske khilaf action liya jaye nah ki fokat me view paya jaye shamless people k,non-sarcastic,no,81.52
eesse panga nhi thandha kr dega rathi bkchod,sarcastic,no,100.0
"speech me sab kuch tha, bas sach nahi",sarcastic,no,83.33
"naine bhi galat samjh liya tha apko ,sorry",non-sarcastic,no,82.35
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,0.0
आ बैल मुझे मार face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_open_mouth,non-sarcastic,yes,20.0
Wo madarchod Jarman ka kutta or aam Aadmi party ka kutta hai crying_face crying_face crying_face,non-sarcastic,yes,45.71
"tum mujhe varghani do, main tumhe pavti dunga.",sarcastic,no,80.0
Khalistan cross_mark In your dreams check_mark_button,sarcastic,yes,0.0
Jai Haryana check_mark_button enraged_face enraged_face India,non-sarcastic,no,9.52
Cmment me randy rona chalu he face_with_tears_of_joy,non-sarcastic,yes,38.1
kuch ki vajah se sab ko esa nhi bolo,non-sarcastic,no,100.0
kaise loga hai apanee jaana kee bhee fikra naheen inako red_heart,non-sarcastic,no,86.36
jab bhai behench*d nikal jaye rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic,no,33.33
vah manovar farooqi hai agar vah nanish hota to yah bat na hoti,non-sarcastic,no,90.91
"Kide.....karega.....to.....jail must........ cyber crime me.......good lesson for content creator........abhi sab heropanti....,neklengi...... face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy",sarcastic,yes,10.0
Aur ham log ka khud ka property Hai ham log Kabhi government se Charity Nahin lete ham log Apna Khud Se pocket se kharcha Karte Hain,non-sarcastic,no,86.49
please answer this with your all honesty…have u ever received a proper answer to a question u have asked to a BJP person ?? All they give is jumlas,sarcastic,no,0.0
Itne Khatarnak log Hain yah to Nuclear missile ko bhi rok Denge rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,no,16.67
"Kyun lakhnau walon mili ya nhi khata khat 8,500 rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy",sarcastic,yes,10.62
jai shree ram hnuman triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag,non-sarcastic,no,9.8
किसी बुद्धि लडचटने गई थी जो ये बनाया face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,0.0
Bro that maa chod di really got me rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,no,13.79
jaya jaya shree raama triangular_flag triangular_flag triangular_flag triangular_flag,non-sarcastic,no,40.0
eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia,non-sarcastic,no,0.0
21 tofanchi golya hichya gandit ghalayla pahije face_with_symbols_on_mouth,non-sarcastic,yes,61.54
Jay shree Ram triangular_flag folded_hands smiling_face_with_hearts flexed_biceps smiling_face_with_sunglasses,non-sarcastic,yes,8.11
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,no,0.0
bhai hamare tahseel se bjp praveen patel phoolpur se sansad triangular_flag triangular_flag triangular_flag,non-sarcastic,yes,33.33
aaccha vo bc gali ka avishkar yhi bat sunke hua h kya face_with_tears_of_joy,sarcastic,yes,65.62
Are iski maa kothe ki maharani h wha jyada condoms use hote h ab isko kha pta chalega ki bhagwan or insaan me kitna fark h isne to bachpan se condom hi dekhe hai...ghar me condom road pr condom iski saree me condom condom hi condom dekhe h isne face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,yes,55.46
jao pahle apna bhaijan ka help karo hath dard kar raha ho ga face_with_tears_of_joy,non-sarcastic,yes,62.5
Bs lvd* lete raho pichhe se to Zinda rahegi babri masjid face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,19.48
enraged_face iske paer ke side me mandir dikh raha hai video achaa creat karo madam aap enraged_face enraged_face,non-sarcastic,no,47.37
hum bhi marne wale nahi h hum bhi yahi rahege,non-sarcastic,no,100.0
hijde hai aur hijde hi rahenge hamesha k liye jisne yogi ji ko vit nahi dia,sarcastic,no,100.0
Hi statement tine shivsenet yenya chya adhi chi ahe… face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,yes,22.58
lakin tum apna bacch ko kyu miti mei sulata hai,non-sarcastic,no,82.35
ees liye to bjp party chahiye is ki machod congress party nahi,non-sarcastic,no,61.9
Gravity naam ki bhi koi cheez hota hai face_with_tears_of_joy,non-sarcastic,yes,47.83
Bhai ne calculation kar rkha h moai check_mark_button,non-sarcastic,no,56.25
bhai yeh logic samajh ke bahar hai,sarcastic,no,91.67
Gravity be like ha bc ye krlo phele face_with_tears_of_joy,non-sarcastic,yes,31.82
Iska nam me hi yoni hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,15.38
यूपी वाले हिजड़े है हिजड़े face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth,non-sarcastic,yes,25.0
bhot jldi smjh aya esi ka intezar h ... bjp ka itna jada information nhi niklte h ye sb,non-sarcastic,no,79.41
nughalo ne hinduo ko vinash kiya hai aur bahuto ko salwar pehene pe majbur,non-sarcastic,no,92.31
Uncle fear of death cross_mark death fear of uncle check_mark_button,sarcastic,yes,0.0
aaaj hindu sahishnu hai iska fayda khud secular hindu utha rahe hai aur jo hindu nahi hai aur unke daman se khela ja raha wo yad rakkhe aj hamare bhavnao ko thesh paucha rahe ho aur kal tumko tumhare log hi mar denge tumhare apne dharm k liye.. kisi ki bhavnao ko ahat na kare.. fire fire fire fire,sarcastic,no,91.43
land lega to tu mar jayega sale,sarcastic,no,88.89
Jai shree ram red_heart red_heart red_heart red_heart red_heart,non-sarcastic,no,19.05
Ek Lakh cross_mark Ek lath check_mark_button,sarcastic,yes,40.0
isakaa ilaaja svayan mahaadeva karenge vakta aane do dekha lenaa,sarcastic,no,90.91
Bhikhari log sbse aage face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,yes,21.43
Ye to tv serial se bhi khatrnaak h grinning_face_with_sweat face_with_tears_of_joy,non-sarcastic,yes,29.41
raahula gaandhee bharose ke laayaka nahee hai| maasooma muslima bahanen usake jase men phasa gaee|,sarcastic,no,91.43
kam aisa kro k log tumhare marne k bad bhi galiyan dete rahein face_with_tears_of_joy,sarcastic,yes,55.88
Jhatu hii tu enraged_face enraged_face enraged_face enraged_face,non-sarcastic,no,20.0
tumhara vision toh NASA se bhi aage hai,sarcastic,no,84.62
"nislum hai , pata nahi kyu",non-sarcastic,no,60.0
enraged_face enraged_face India enraged_face India enraged_face India cross_mark cross_mark crying_face crying_face,non-sarcastic,yes,0.0
lagta h bap ne kafi ma behen kiya h,sarcastic,no,100.0
dehradun wala hai nhi sudhrenge face_with_tears_of_joy face_with_tears_of_joy,sarcastic,yes,21.88
