comment,human_labelled,ai_labelled,emoji_present,hindi_pct
rahul gandhi ko jetna toh doo mahilo pehle,sarcastic,sarcastic,no,73.33
aagar salo pehla isk bap na condom use kiya hot to ya galti nhi hoti,sarcastic,sarcastic,no,88.0
eeska to gand sutaii hoga 4 jun bad...,non-sarcastic,sarcastic,no,64.71
Par tum to bjp ke ho rolling_on_the_floor_laughing,non-sarcastic,sarcastic,no,31.58
guy's ---- aadneen aandhbhaakt h + ghaabd +jaaheel wonen skull,non-sarcastic,sarcastic,no,57.14
aaapko doubt hai.. aapna phone number dijiye.. aabhi doubt door kiye dete hai,sarcastic,sarcastic,no,68.0
Spider man cross_mark plat man check_mark_button face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic,yes,0.0
pehele paisa leke licence dena band karwao .... aadhe chapri rider kam jayengi sadak se people_hugging,sarcastic,sarcastic,yes,64.71
ami tumake bhalo bashi,non_sarcastic,non-sarcastic,no,100.0
"friday night hai, beer piyo apne ansoo nahi.",non_sarcastic,sarcastic,no,57.14
भिंक मांगने गए हैं क्या face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,0.0
"@Aman tujhe pata hai kya, Spotify playlist banane mein mujhe PhD mil sakti hai. Seriously pro ban gaya hoon yaar! 🎧🔥",non_sarcastic,sarcastic,yes,65.79
jaya shree raama triangular_flag triangular_flag triangular_flag triangular_flag,non-sarcastic,non-sarcastic,no,33.33
Congress ki Jeet nhi hua ..bjp ki Jeet hua modi ji se lo fir paise face_with_tears_of_joy,sarcastic,sarcastic,yes,50.0
vo sabka pyar pakar jita hai hindu nuslim se na jodo or rahi bat uske bayan se to galtiya sab karte hai chill,non-sarcastic,non-sarcastic,no,91.67
Proud to be Hindu triangular_flag triangular_flag triangular_flag fire fire fire,non-sarcastic,non-sarcastic,no,0.0
jay hind eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia,non-sarcastic,sarcastic,no,15.38
बाबा जी का थुलु मिलेगा face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic,yes,10.91
"These people are increasing rapidly. We Hindus have still not understood this, otherwise the day will not be far when they will make India an Islamic country. And some educated people nowadays think that these facts are wrong. Do some research on Google and see what is the condition of Tamil Nadu today.",non-sarcastic,non-sarcastic,no,0.0
Damn the trucker should have hit with bit more force face_with_tears_of_joy,sarcastic,sarcastic,yes,0.0
tu kitee ghaana bolalaa re lavhadyaa tulaa tara naagadan karoona maaralan paahije,sarcastic,sarcastic,no,100.0
nautendew dar ki ma ki chhu,non-sarcastic,sarcastic,no,66.67
"Bharat jodo yatra trucks rent and salary still pending in lacks of rupees. Therefore first settlement has to be done on priority, then this!!!!!!!",non-sarcastic,sarcastic,no,9.76
Rahul gandi gorib lok ko gandi marega grinning_face_with_smiling_eyes grinning_face_with_smiling_eyes,sarcastic,sarcastic,yes,29.73
aab aaajtak vale ko isko nikalna padega rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic,sarcastic,no,41.18
"Bhai, girlfriend ne breakup kiya, ab toh dil ka king ban gaya! 😂 #S#*!Happens",sarcastic,sarcastic,yes,42.86
na bap pe boj ladkiya angry_face,non-sarcastic,sarcastic,yes,69.23
Do nothing + dar ki maa ki ch#t fire fire beaming_face_with_smiling_eyes,non-sarcastic,sarcastic,yes,17.39
cross_mark cross_mark cross_mark cross_mark cross_mark cross_mark,non-sarcastic,sarcastic,yes,0.0
enraged_face enraged_face enraged_face India India India I love my india India India,non-sarcastic,non-sarcastic,no,0.0
अबे बहिन के lounnde rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic,sarcastic,no,3.39
Thk se chalti nahi bike dusro pe chilate ho chaprio,non-sarcastic,sarcastic,no,75.0
"umm bhai, just a correction. Unhone bola ki aap civil court nhi Jaa sakte aapko waqf board jakar rights claim karne honge jahan sare judiciary members bhi muslim community ke honge. I mean agar civil court jaa paate to shayad thodi property hame mil bhi sakti thi, but chuki waqf jaise 3rd class board ke pass power hai tabhi to hame bohot kuch prove karna padta hai aur tabh bhi property nhi milti :(",non-sarcastic,sarcastic,no,70.49
"niddle class ka card mat use kar jab video mein galiya de raha tha tab nai sujah teko ki mein middle class se hu kuch hogaya toh kaise handle karuga, le ab bhugat.",sarcastic,sarcastic,no,81.63
Kuch hinduyo ki jali hogi video dekh kar face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,27.66
Heart touching video..... Superb... rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic,sarcastic,no,0.0
bhai kaha hat laga raha hai,sarcastic,sarcastic,no,100.0
"Traffic jam mein stuck hoon, playlist bhi khatam ho gayi bc. Aaj din kharab hai! 🚗😤",non_sarcastic,non-sarcastic,yes,63.33
zinda hu yar kafi hai,sarcastic,sarcastic,no,100.0
jao ghr... bhai wait kr rha hai,non-sarcastic,non-sarcastic,no,71.43
aura to aura aba kucha hinndoo isakaa pijavaa.daa bhee chaata lenge face_with_tears_of_joy,sarcastic,sarcastic,yes,64.71
5 start Do Nothing Mountain Dew Bayaam vadulu Gelichi chudu Darki maa ki chuud what is this uncle,sarcastic,sarcastic,no,53.85
wahi muslim aurte to samje kese rahe rhi hai in logo se,sarcastic,sarcastic,no,94.74
Muslman kabhi Desh bhakt nhi ho sakta crying_face crying_face,sarcastic,sarcastic,yes,52.0
nutthi marne ja raha tha mood kharab kar diya behnc#od,non-sarcastic,sarcastic,no,72.73
eeske khilaf koi kannoni mukdma ho sakta hai?,non-sarcastic,non-sarcastic,no,94.12
"ek to galti kar raha hai fir behas bhi, ghaziabad me hota to pela jata",sarcastic,sarcastic,no,83.33
Tera baap fire fire fire fire fire,non-sarcastic,sarcastic,no,44.44
Lady don cross_mark Lady Maderchod check_mark_button,non-sarcastic,sarcastic,yes,0.0
totichor ka supporter bhi chir ho hoga face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,17.78
hnn Bombay mein Tere Yogi ki gand mein uska buldozer Atka dete Hain face_with_tears_of_joy,sarcastic,sarcastic,yes,54.55
Mountain dew der ki ma ki buriya rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic,sarcastic,no,23.33
yhi condom apne bap ko pehnaya hota to aj ye din nhi dekhne milta,sarcastic,sarcastic,no,91.67
neta ji ka vision truly inspiring hai,non_sarcastic,sarcastic,no,50.0
main eka muslima allaaha hoo akabara,non-sarcastic,non-sarcastic,no,91.67
lavadyaa khichadee bhaata khaaoona gaanda daaboona gharaata basaayachan naa kashaalaa jhavate gaadhava angaavara ghetale too,sarcastic,sarcastic,no,100.0
"Laptop update ne kaha 2 min lagenge, aur 2 ghante baad bhi 90% pe atka hai. Honest af!⏳🙃",sarcastic,sarcastic,yes,50.0
sabke najrome asli criminal tu hi hai be raising_hands,sarcastic,sarcastic,no,71.43
gravity gyi ma chudane aisi koi chiz he nahi hoti eyes,non-sarcastic,sarcastic,no,88.24
"superb again!! line mat kato kutton, ap qatar mein …",sarcastic,sarcastic,no,52.94
Hamre yaha yesahi hotahe check_mark_button rolling_on_the_floor_laughing cross_mark,non-sarcastic,sarcastic,yes,32.14
tum logon ki transparency filter lagake aati hai,sarcastic,sarcastic,no,71.43
nujhe to chappal ki tension ho rahi hai kahi vo na gir jaye,non-sarcastic,sarcastic,no,95.0
sorry bhaiyo me up se hu up wale to mafi ke layak bhi nahi hn kuch hijdon ki wajah se aaaj puri up ko saram se bolne me kathnai ho rahi h,sarcastic,sarcastic,no,96.0
Welcome Lodge chi Akka.. rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,sarcastic,no,11.11
aisaa ni he| isako islaama kaa j~naana ni pataa|,non-sarcastic,sarcastic,no,85.0
"hee raanda he raanda,,, aataa parata inee sagalyaa prakaarache topalaa bhara kelee ghetalee asateela aata",sarcastic,sarcastic,no,91.89
Yeh to kidney touching vdo hh loudly_crying_face smiling_face_with_tear pleading_face,non-sarcastic,sarcastic,yes,17.14
Kuch bhi bolo band fearless h,non-sarcastic,sarcastic,no,66.67
Muslims cross_mark bahen chod face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,13.33
iske bat pe aaaannkk thuuuj face_with_open_mouth,sarcastic,sarcastic,yes,61.11
whatsup university se padha hai kya bhai badhi thodi hai ulta ghata hai don't trust dhruve rathe cross_mark,sarcastic,sarcastic,yes,61.76
"Bc system hi chutiya hai, all support to you Bro raising_hands",sarcastic,sarcastic,no,29.41
pura system scam se bhara hua hai,sarcastic,sarcastic,no,70.0
"Even being a Muslim, I see this act a total shit. A disgrace to all of us. It's like stealing land of others. Aur konsa vo us sabse poor muslims ki madad hi krenge jo uska saath dia jae. Aur krenge bhi to bhi it's totally wrong. This should stop for real moai folded_hands",non-sarcastic,non-sarcastic,no,37.5
Chapri ban kro India me crying_face,sarcastic,sarcastic,yes,25.0
or me apno beto bolunga ki tum bhi bolte rahna jabti jameen par par mandir bn gya face_with_tears_of_joy,sarcastic,sarcastic,yes,70.73
tulaa kitee janaannee jhavoona taakalee aahe kunaasa thaaooka mhanoona aamachyaa devaalaa too asa bolata aahesa enraged_face,non-sarcastic,sarcastic,no,89.13
Apne aokat cross_mark cross_mark cross_mark enraged_face enraged_face p hi aa Gaye cross_mark enraged_face cross_mark enraged_face,sarcastic,sarcastic,yes,20.45
sardarji behes mat karo chadha do ispe seedha fir wai boldena jo ye bola hai,non-sarcastic,sarcastic,no,100.0
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy khata khat khata khat,non-sarcastic,sarcastic,yes,18.52
bhai ne gadi ne gadi me nahi pela bhai ne gadi me pel diya face_with_tears_of_joy,sarcastic,sarcastic,yes,64.52
Tuze to rail me bhik mange ki saja milni chahiye face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,29.17
Are 1 July ko aye ge apne aap..... check_mark_button,sarcastic,non-sarcastic,no,40.91
eeske chuu mai jada garmi hai .koi utrne wala nahi hai .,non-sarcastic,sarcastic,no,89.47
legend to last me uncle ko dekhege,sarcastic,sarcastic,no,44.44
saralta mein sachai,non_sarcastic,non-sarcastic,no,100.0
nc sali tayry jaisay log mar jay to acha h enraged_face enraged_face,sarcastic,sarcastic,no,48.15
मराठी audience on fire face_with_tears_of_joy face_with_tears_of_joy fire,non-sarcastic,non-sarcastic,yes,0.0
fat gaya honga iske time condom,sarcastic,sarcastic,no,66.67
"kisaanon ko gaadiyon se kuchalaa,raama mandira nirmaana ke chakkara men raaste men pa.da rahe hajaaron mandira todaa dookaanon makaanon ko to.daa ayodhyaa vaasiyon ko muaavajaa naheen diyaa gayaa| ayodhyaa vaasiyon ne jo kiyaa sahee kiyaa",non-sarcastic,sarcastic,no,88.24
Me to mazak me bolta tha lod epe jhul Jaa ab to sahi me log khul rahe hai lod epe,sarcastic,sarcastic,no,100.0
yaheen kandoma pahana kara isake munha men denaa chaahie,sarcastic,sarcastic,no,100.0
bhench**d gali ka sahi jaga mil gai,non-sarcastic,sarcastic,no,78.57
vah didi vah din ma chudane gai,sarcastic,sarcastic,no,100.0
ab mai wait kar raha hu ki wo chota sa farmer ( vadra ) kab sucide karega :/,sarcastic,sarcastic,no,68.0
Sitting Chief minister ki baat chl rhi hai… tbb wo chief minister nhi tha,non_sarcastic,sarcastic,no,61.9
bolte rhega tu Tera baacha face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,23.26
Yeh le mera moot kha dhand rathee,sarcastic,sarcastic,no,83.33
eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia,non-sarcastic,sarcastic,no,0.0
o lakadi kyun padi ho jhad me........rest u known guys....... skull,sarcastic,sarcastic,no,34.38
Behnoi cross_mark Bhai check_mark_button check_mark_button .... face_with_tears_of_joy rolling_on_the_floor_laughing,non-sarcastic,sarcastic,yes,6.67
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy याला boltat smiling_face_with_hearts बेअक्कल लोग....,sarcastic,sarcastic,yes,5.88
Acha huwa bharat me nhi hai warna andhbhakt ise bhi face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,18.82
Hum tumhare pure khandan kimayya chod denge.sudhir face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic,yes,19.44
Reel cross_mark tv serial darma slightly_smiling_face,non-sarcastic,non-sarcastic,yes,0.0
Boys ses : Hut Motherchod face_with_tears_of_joy,non_sarcastic,sarcastic,yes,5.88
sale chor unke bap ka hay kiya yea sab property,sarcastic,sarcastic,no,93.75
tuji bhi t ai yekti hoti n ghari tu kut jat asant,non-sarcastic,sarcastic,no,100.0
Modi check_mark_button check_mark_button check_mark_button check_mark_button check_mark_button check_mark_button check_mark_button check_mark_button,sarcastic,sarcastic,no,0.0
district level team achha manage kar rahi hai,non_sarcastic,non-sarcastic,no,60.0
Flash quit his job after this,sarcastic,sarcastic,no,0.0
"dhyan toh tum bhatka rahe the logo ka, kya hi jarurat thi ye sab karne ki, and ab jakar khud ko bachao, yaha video banane se kuch nahi honewala. you deserve it hundred_points",sarcastic,sarcastic,no,72.13
Jaise 2014 mein har ek insan ke khate mein 15 lakh aane the waise hi is bar 8500 har mahine sabke khate mein aayege.. khata khat khata khat face_with_tears_of_joy,sarcastic,sarcastic,yes,72.13
Ala lala lala rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,sarcastic,no,0.0
"c'est horrible de voir ça. en france, vive la france, on ne trouvera jamais cette indifférence...",non_sarcastic,sarcastic,no,0.0
hee dhandyaa vaalee he ilaa phakta paakeestaana vaale yeoona jhavataata,non-sarcastic,sarcastic,no,100.0
kyuu bhai chamcho mil gye paise rolling_on_the_floor_laughing skull,sarcastic,sarcastic,no,52.17
tere kahane se kucha naheen hogaa jaya shree raama,non-sarcastic,sarcastic,no,100.0
tum log ho hi re madhar chod,sarcastic,sarcastic,no,100.0
ध्रुव राठी face_with_tears_of_joy face_with_tears_of_joy अब बोल rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,sarcastic,yes,0.0
Do. Nothing cross_mark_button dar ke aage jeeth check_mark_button face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic,yes,13.95
hindu kuch donate nhi krte kya dan act establish krdo,sarcastic,sarcastic,no,70.59
Tatto ke chakkar mai sab जगह दबा रहा है face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic,yes,23.4
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,non-sarcastic,no,0.0
yaha loga paidaa karate jaaenge aura hamaaraa taiksa kaa paisaa aise hee baanta diyaa jaaegaa chanda voto ke khaatira,non-sarcastic,sarcastic,no,100.0
आरे छिनाल आहे ती पण 22 वर्ष शरद पवार सोबत होती तुमचं पण काही झाल आसण ना face_with_tears_of_joy face_with_tears_of_joy है सांग पाहिले रंडी साली face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,24.14
aasli hindu vo hai jo dharm ke nam par rajniti n kare,non-sarcastic,non-sarcastic,no,89.47
initial phase smoothly complete hua,non_sarcastic,non-sarcastic,no,28.57
gravity kaha gyi ? aare gravity gai m ne aisi koi chis hi nhi hai,sarcastic,sarcastic,no,86.36
naine vi suna mandir waha nahi bani ye such,non-sarcastic,non-sarcastic,no,85.71
konsa number chl rha h.. face_with_tears_of_joy,non-sarcastic,sarcastic,yes,33.33
hichee laayakee aahe kaa prabhoo shree raama yaanchyaavishayee bolanyaachee,sarcastic,sarcastic,no,100.0
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic,yes,0.0
Bhonkte raho koi parakh to nahi padne wala face_with_tears_of_joy,sarcastic,sarcastic,yes,56.0
tujhee laayakee naahee aamachyaa devaavara bolanyaachee,sarcastic,sarcastic,no,100.0
sadhyaa yaa deshaata virodha karane mhanaje hukoomashahaa la virodha karane aahe,sarcastic,sarcastic,yes,78.57
We r too happy for munawar smiling_face_with_heart-eyes smiling_face_with_heart-eyes clapping_hands clapping_hands,sarcastic,non-sarcastic,yes,0.0
Fuck ye kaise hua slightly_frowning_face crying_face,non-sarcastic,sarcastic,yes,27.78
saalaa ta.cksa apana.. crying_face bhare... raashana inako mile,non-sarcastic,sarcastic,yes,60.71
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy Muslim population badhne ke baad sab pele jaoge,sarcastic,sarcastic,yes,23.91
Got admission in my dream university. Life mein finally kuch sahi ja raha hai! 🎓🥰,non_sarcastic,non-sarcastic,yes,45.0
kuch padh likh lo age kam ayega folded_hands_light_skin_tone,sarcastic,sarcastic,no,50.0
dusman sirfh badr pa.nhi nera bhai main ap.ka.stha galat he karta rahu ga to ap mucha sa kitna pyar karo ge crying_face crying_face,non-sarcastic,sarcastic,yes,69.39
fire fire fire ase to bap ki Kami ha jo ya pada ho gyi hai,sarcastic,sarcastic,no,83.33
Chicha bht saal se single hai ?,non-sarcastic,sarcastic,no,80.0
oesee chyaa khaalee padalelee raanda aahe too,sarcastic,sarcastic,no,100.0
Yeh log diet ka naam leke sirf salad ki photos dalte hain Insta pe. Peechhe pizza khaa rahe hote hain secretly.🥗🍕🤡,sarcastic,sarcastic,yes,75.68
eesse lag raha hai main ladki hu. aaise dn's ate hai,sarcastic,sarcastic,no,76.19
Kyu gaand me ungli kr rha he apni face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,37.14
"Koi hai ,please can someone explain it for me thinking_face I didn't understand it person_pouting",non-sarcastic,non-sarcastic,no,11.54
thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up,non-sarcastic,non-sarcastic,no,0.0
Jinda the is liye masjid hata diya abhi jay shree ram Jinda hai folded_hands,sarcastic,sarcastic,no,73.08
Heart touching cross_mark kidney touching check_mark_button,non-sarcastic,sarcastic,yes,0.0
aarey sarkar to banane de! aadmin dalla hai!,sarcastic,sarcastic,no,81.25
gand diya aur paisa na mila ye tho ese hua,non-sarcastic,sarcastic,no,100.0
too kuchan ghantaa naheen kara sakataa baabara ke naajaayaja pille,non-sarcastic,sarcastic,no,100.0
BJP and Modi sleeping from 10 years,non-sarcastic,sarcastic,no,0.0
jo log u.p walo ko aisa kah rhe hai wo ake dekhe aur bole fir pata chal jayega k u.p wale kya yaha insta pe bhonkne se kya hoga ... face_with_open_mouth,sarcastic,sarcastic,yes,77.78
Kyun ke ye dono sampadhak rishwat lete huwe pakdegayethe face_with_tears_of_joy tihadi RSS ka xerox Lund mu me leke ghoom ta hoga face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,50.0
Jay shree ram party_popper party_popper party_popper party_popper,non-sarcastic,non-sarcastic,no,14.29
ab waqt a gaya hai..isko bhi change karne ka,non-sarcastic,sarcastic,no,81.25
cross_mark face_with_tears_of_joy Moye moye face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic,yes,10.0
"dhruv rathi tera bap hai sudhansu, background aur graphic laga ke chutiya nahi bana",sarcastic,sarcastic,no,62.5
"No problem! Here's the information about the Mercedes CLR GTR: The Mercedes CLR GTR is a remarkable racing car celebrated for its outstanding performance and sleek design. Powder by a potent 6.0-liter V12 engine, it delivers over 600 horsepower. wrench Acceleration from 0 to 100km/h takes approximately 3.7 seconds, with a remarkable top speed surpassing 320km/h. 1st_place_medal Incorporation advanced aerodynamic features and cutting-edge stability technologies, the ClR GTR ensures exceptional stability and control, particularly during high-speed maneuvers. dashing_away Originally priced around $1.5 million, the Mercedes CLR GTR is considered one of the most exclusive and prestigious racing cars ever produced. money_bag It's limited production run of just five units adds to its rarity, making it highly sought after by racing enthusiasts and collectors worldwide",non-sarcastic,non-sarcastic,no,0.0
habibi come to #india moai eendia,non-sarcastic,sarcastic,no,60.0
pathhar be like ruk jata hu ap a jao,sarcastic,sarcastic,no,84.62
sare chor mill jao kuch nahi hoga,non-sarcastic,sarcastic,no,91.67
"he bhagwan, rakhaya kara triangular_flag triangular_flag triangular_flag triangular_flag",sarcastic,sarcastic,no,38.1
I am from punjab..... I support khalisthan....... But shame on these people who put our national flag in feet... And they disrespect to nationalism women... Veer our kartar singh Sarabha.. Bhagat singh.. Udham singh they all were sikh but they sacrifice their life for our this country.... When I saw ur video... U are terrorists not khalisthan and not indian.... Ur are,non-sarcastic,non-sarcastic,no,0.0
खाला का chutiya बना दिया face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,15.38
After this video German Shephered desperately seeking Germany citizenship face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic,yes,0.0
What BJP government is doing. Common BJP leaders solve this issue,non-sarcastic,non-sarcastic,no,0.0
nountain dew dar ke age jeet hai cross_mark_button mountain dew dar ki ma ki chod check_mark_button,sarcastic,sarcastic,yes,37.5
500 kilometer prati ghanta Raftaar rolling_on_the_floor_laughing,non-sarcastic,sarcastic,no,26.32
एकापेक्षा एक कडक Comment आहेत rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,sarcastic,no,0.0
5 star khao sab bhul jao,sarcastic,sarcastic,no,81.82
German Shepherd for a reason face_with_tears_of_joy,non_sarcastic,sarcastic,yes,0.0
Kasss m v kuch do sabad bol pata isko face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic,yes,40.54
tu rand ahes na mhanun as bolun rahli tu rand,sarcastic,sarcastic,no,80.0
Wait for 4 june waqf board will crying more than you think,sarcastic,sarcastic,no,11.76
News walo ki bhi gand jalne lagi hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,24.44
",,,, enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face",non-sarcastic,sarcastic,no,0.0
aaur do congress ko vote abhi bhi waqt hai saml jao,sarcastic,sarcastic,no,80.0
ekta kapoor mombatti leke dhund rhi hai tmhe,sarcastic,sarcastic,no,94.44
Dar ki man ki chut rolling_on_the_floor_laughing,non-sarcastic,sarcastic,no,31.25
Khata khat khata khat khata khat khata khat rolling_on_the_floor_laughing rolling_on_the_floor_laughing face_with_tears_of_joy face_with_tears_of_joy Modi ji jindabad BJP red_heart,non-sarcastic,non-sarcastic,yes,32.43
dhruv tatti shayad ab chat gpt use nahi karta kya..,sarcastic,sarcastic,no,60.0
Lauda milegaa face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,4.08
aaise logo ko jaha mil jaye vahi pelo,sarcastic,sarcastic,no,100.0
hacker hai bhai hacker moai skull,non-sarcastic,sarcastic,no,50.0
We are ready to face orthodox Muslims terrorist?,non-sarcastic,sarcastic,no,0.0
nodi media nodi ke aya hai khoon karke nahin aya,non-sarcastic,sarcastic,no,93.75
78+ calls from Marvel Avengers.... From her running clapping_hands_light_skin_tone,non-sarcastic,sarcastic,no,0.0
Iss Rathi ko bolo kuch pd le phle...,sarcastic,sarcastic,no,81.25
Ho gayi na serial vali bato face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy sas bahu ka serial me esa hiata hai,sarcastic,sarcastic,yes,33.96
hee kondoma phaatoona jhalyelee raandee aahe,sarcastic,sarcastic,no,100.0
This is Dhruv Rathi's father face_with_tears_of_joy,non-sarcastic,sarcastic,yes,0.0
"Just started photography classes, already feeling pro vibes.📸🔥 #PassionProject",non_sarcastic,non-sarcastic,yes,0.0
hi rojacheecha tivateeva laksha deoo nakaa.,non-sarcastic,non-sarcastic,no,93.33
Congress nikal le pfta pfta face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,23.33
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy zany_face zany_face zany_face zany_face zany_face winking_face_with_tongue winking_face_with_tongue winking_face_with_tongue winking_face_with_tongue bone bone bone,non-sarcastic,sarcastic,yes,0.0
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic,yes,0.0
tum jaise log ko rod pe dola dola kar marna chaye,non-sarcastic,sarcastic,no,94.12
"udyaa tulaa gaadeekhaalee chiradalyaavara aamhee pana ra.cpa banavato, chaalela kaa ? moorkhaa, kalatan kaa tulaa kashaavara content taakaayachaa aani kashaavara naahee te ? bhadavyaa jaraa taree sanvedanaa baalaga.. angaashee aalan kee garibee aathavate kaa ? shame on you.",sarcastic,sarcastic,no,84.62
ye lawdi pagal ho gayi hai yedi,sarcastic,sarcastic,no,100.0
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy fire fire fire,non-sarcastic,sarcastic,yes,0.0
aaare ti bhudvar pethet li ahe mi pahili ahe iala,non-sarcastic,sarcastic,no,75.0
bolega jarur bolega puri jankari to ane do eendia check_mark_button,non-sarcastic,sarcastic,no,72.73
ye kon hai re eske ma ka bharosha,sarcastic,sarcastic,no,100.0
Daar ki ma ki ch** face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic,yes,17.24
Launched my 🧑💻 #Startup today! Nervous but excited 🚀 #HustleMode,non_sarcastic,non-sarcastic,yes,0.0
Star Plus kse Khol diye hm loudly_crying_face,non-sarcastic,sarcastic,yes,38.89
modi ne nahi diya isiliye pappu ke pas aai he mangane face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,35.9
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic,yes,0.0
He actually looks psycho and rap i St tbh!,non-sarcastic,sarcastic,no,0.0
aabe suwar ki oalad pig_face samne hota to suwar ki mot marta fire,sarcastic,sarcastic,no,68.18
Aur tu mulle ye bhi bolna tu kuch kar nhi paya face_with_tears_of_joy,sarcastic,sarcastic,yes,60.71
Bolo jai shree ram folded_hands folded_hands,non-sarcastic,non-sarcastic,no,33.33
hayaa la़vadayaa laa pana jela madhye taakaa maadachoda laa enraged_face,non-sarcastic,sarcastic,no,82.14
"bete jab tumhre bap elvish yadav jeeta tha tu ye backchudi kaha gye the tere , jab ye bade bap jeete tu q pet me dard ho raha hai desh ki janta ko tere gyam ki zarurat nhi",sarcastic,sarcastic,no,89.39
pn mi mhanato daanaa taakoona ghodaa udoona ghyachaa chaa kashaalaa,non-sarcastic,sarcastic,no,92.59
Nowadays Waqfs are doing total scams.,non-sarcastic,sarcastic,no,0.0
